Id,MSSubClass,MSZoning,LotArea,Street,Alley,Utilities,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,SaleType,SalePrice
250,50,RL,159000,Pave,NA,AllPub,CulDSac,1Fam,1.5Fin,6,7,1958,Gable,CompShg,Wd Sdng,BrkCmn,472,Gd,TA,CBlock,Gd,TA,1444,GasA,Gd,Y,SBrkr,1444,700,2144,0,1,2,0,4,1,Gd,7,Typ,2,Attchd,2,Y,0,98,0,0,0,NA,Shed,500,WD,277000
612,80,RL,10395,Pave,NA,AllPub,FR2,1Fam,SLvl,6,6,1978,Gable,CompShg,HdBoard,BrkFace,233,TA,TA,CBlock,Gd,TA,1032,GasA,TA,Y,SBrkr,1032,0,1032,0,1,2,0,3,1,TA,6,Typ,1,Attchd,2,Y,0,0,0,0,0,MnPrv,Shed,500,WD,148000
726,20,RL,6960,Pave,NA,AllPub,Inside,1Fam,1Story,4,6,1970,Gable,CompShg,HdBoard,None,0,TA,TA,CBlock,TA,TA,864,GasA,TA,Y,SBrkr,864,0,864,0,0,1,0,3,1,Gd,5,Typ,0,Detchd,2,Y,96,0,0,0,0,NA,Shed,500,WD,120500
767,60,RL,10421,Pave,NA,AllPub,Inside,1Fam,2Story,7,5,1988,Gable,CompShg,HdBoard,BrkFace,42,TA,TA,CBlock,Gd,TA,980,GasA,TA,Y,SBrkr,980,734,1714,0,0,2,1,3,1,TA,7,Typ,1,Attchd,2,Y,228,66,156,0,0,MnPrv,Shed,500,WD,196500
795,60,RL,10832,Pave,NA,AllPub,Corner,1Fam,2Story,7,5,1994,Gable,CompShg,MetalSd,None,0,Gd,TA,PConc,Gd,TA,712,GasA,Ex,Y,SBrkr,1086,809,1895,0,0,2,1,3,1,Gd,7,Typ,1,Attchd,2,Y,143,46,0,0,0,NA,Shed,500,WD,194500
814,20,RL,9750,Pave,NA,AllPub,Inside,1Fam,1Story,6,6,1958,Gable,CompShg,MetalSd,BrkFace,243,TA,TA,CBlock,TA,TA,1442,GasA,Gd,Y,SBrkr,1442,0,1442,0,0,1,1,4,1,TA,7,Typ,0,Attchd,1,Y,0,0,275,0,0,NA,Shed,500,COD,157900
1077,50,RL,10800,Pave,Grvl,AllPub,Inside,1Fam,1.5Fin,5,8,1936,Gable,CompShg,Wd Sdng,None,0,TA,TA,CBlock,Fa,TA,796,GasA,Gd,Y,SBrkr,1096,370,1466,0,1,2,0,3,1,Gd,7,Min1,1,Attchd,2,Y,436,21,0,0,0,NA,Shed,500,WD,170000
96,60,RL,9765,Pave,NA,AllPub,Corner,1Fam,2Story,6,8,1993,Gable,CompShg,VinylSd,BrkFace,68,Ex,Gd,PConc,Gd,Gd,680,GasA,Gd,Y,SBrkr,680,790,1470,0,0,2,1,3,1,TA,6,Typ,1,BuiltIn,2,Y,232,63,0,0,0,NA,Shed,480,WD,185000
500,20,RL,7535,Pave,NA,AllPub,Inside,1Fam,1Story,5,7,1958,Gable,CompShg,MetalSd,None,0,TA,TA,CBlock,TA,TA,912,GasA,Fa,Y,SBrkr,912,0,912,0,1,1,0,2,1,TA,5,Typ,0,Attchd,1,Y,12,285,0,0,0,MnWw,Shed,480,WD,120000
107,30,RM,10800,Pave,Grvl,AllPub,Inside,1Fam,1Story,4,7,1885,Mansard,CompShg,VinylSd,None,0,TA,TA,BrkTil,Fa,TA,641,GasA,Gd,Y,SBrkr,1047,0,1047,0,0,1,0,2,1,TA,6,Typ,0,Detchd,1,N,0,0,0,0,0,NA,Shed,450,WD,100000
215,60,RL,10900,Pave,NA,AllPub,FR2,1Fam,2Story,6,7,1977,Gable,CompShg,HdBoard,BrkFace,153,TA,TA,CBlock,Gd,TA,689,GasA,Ex,Y,SBrkr,689,703,1392,0,0,1,1,3,1,TA,6,Typ,0,Attchd,1,Y,0,36,0,0,0,MnPrv,Shed,450,WD,161750
251,30,RL,5350,Pave,NA,AllPub,Inside,1Fam,1Story,3,2,1940,Gable,CompShg,Wd Sdng,None,0,TA,Po,CBlock,TA,TA,728,GasA,Ex,Y,SBrkr,1306,0,1306,0,0,1,0,3,1,Fa,6,Mod,0,NA,0,Y,263,0,0,0,0,GdWo,Shed,450,WD,76500
761,20,RL,9100,Pave,NA,AllPub,Inside,1Fam,1Story,6,6,1959,Hip,CompShg,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,864,GasA,Ex,Y,SBrkr,864,0,864,0,0,1,0,2,1,TA,5,Typ,0,Detchd,1,Y,0,0,0,0,0,NA,Shed,450,WD,127500
52,50,RM,6240,Pave,NA,AllPub,Inside,1Fam,1.5Fin,6,6,1934,Gable,CompShg,Wd Sdng,None,0,TA,TA,PConc,TA,TA,816,GasA,TA,Y,SBrkr,816,0,1176,0,0,1,0,3,1,TA,6,Typ,1,Detchd,2,Y,112,0,0,0,0,MnPrv,Shed,400,WD,114500
99,30,RL,10625,Pave,NA,AllPub,Corner,1Fam,1Story,5,5,1920,Gable,CompShg,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,458,GasA,Fa,N,SBrkr,835,0,835,0,0,1,0,2,1,TA,5,Typ,0,Basment,1,Y,0,0,77,0,0,NA,Shed,400,COD,83000
100,20,RL,9320,Pave,NA,AllPub,Inside,1Fam,1Story,4,5,1959,Gable,CompShg,Plywood,None,0,TA,TA,CBlock,TA,TA,950,GasA,Fa,Y,SBrkr,1225,0,1225,1,0,1,1,3,1,TA,6,Typ,0,NA,0,Y,352,0,0,0,0,NA,Shed,400,WD,128950
339,20,RL,14145,Pave,NA,AllPub,Corner,1Fam,1Story,7,7,1984,Gable,CompShg,Wd Sdng,None,0,Gd,TA,CBlock,Gd,TA,1208,GasA,Ex,Y,SBrkr,1621,0,1621,1,0,2,0,3,1,Gd,8,Typ,0,Attchd,2,Y,108,45,0,0,0,NA,Shed,400,WD,202500
503,20,RL,9170,Pave,NA,AllPub,Corner,1Fam,1Story,5,7,1965,Hip,CompShg,MetalSd,None,0,TA,TA,CBlock,TA,TA,1214,GasA,Ex,Y,SBrkr,1214,0,1214,1,0,1,0,2,1,TA,6,Typ,0,Detchd,2,Y,0,0,184,0,0,GdPrv,Shed,400,WD,140000
734,20,RL,10000,Pave,NA,AllPub,Corner,1Fam,1Story,5,6,1961,Hip,CompShg,HdBoard,None,0,TA,TA,CBlock,TA,TA,864,GasA,Ex,Y,SBrkr,1144,0,1144,1,0,1,0,3,1,TA,6,Typ,1,Attchd,1,Y,165,0,0,0,0,GdWo,Shed,400,WD,131400
801,60,RL,12798,Pave,NA,AllPub,Inside,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,None,0,TA,TA,PConc,Gd,TA,616,GasA,Gd,Y,SBrkr,616,1072,1688,1,0,2,1,4,1,Gd,8,Typ,0,Attchd,2,Y,403,114,185,0,0,NA,Shed,400,WD,200000
868,20,RL,6970,Pave,NA,AllPub,Corner,1Fam,1Story,4,5,1961,Gable,CompShg,VinylSd,None,0,TA,TA,CBlock,TA,TA,1040,GasA,TA,Y,SBrkr,1120,0,1120,1,0,1,1,3,1,Fa,5,Typ,0,Attchd,2,Y,168,0,0,0,0,NA,Shed,400,WD,129000
879,85,RL,11782,Pave,NA,AllPub,Inside,1Fam,SFoyer,5,7,1961,Gable,CompShg,HdBoard,None,0,TA,TA,CBlock,TA,TA,1109,GasA,TA,Y,SBrkr,1155,0,1155,1,0,1,0,3,1,Gd,6,Min2,0,Detchd,2,Y,192,0,0,0,0,MnPrv,Shed,400,WD,148000
954,60,RL,11075,Pave,NA,AllPub,Inside,1Fam,2Story,5,4,1969,Gable,CompShg,HdBoard,BrkFace,232,TA,TA,CBlock,TA,TA,784,GasA,Ex,Y,SBrkr,1168,800,1968,0,1,2,1,4,1,TA,7,Min2,1,Attchd,2,Y,305,189,0,0,0,MnPrv,Shed,400,WD,172000
1211,60,RL,11218,Pave,NA,AllPub,Inside,1Fam,2Story,6,5,1992,Gable,CompShg,Wd Sdng,None,0,Gd,TA,PConc,Gd,TA,1055,GasA,Ex,Y,SBrkr,1055,790,1845,0,0,2,1,3,1,Gd,8,Typ,1,Attchd,2,Y,635,104,0,0,0,GdPrv,Shed,400,WD,189000
8,60,RL,10382,Pave,NA,AllPub,Corner,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,1107,GasA,Ex,Y,SBrkr,1107,983,2090,1,0,2,1,3,1,TA,7,Typ,2,Attchd,2,Y,235,204,228,0,0,NA,Shed,350,WD,200000
813,20,C (all),8712,Grvl,NA,AllPub,Inside,1Fam,1Story,5,5,1952,Hip,CompShg,Wd Sdng,None,0,Fa,TA,CBlock,TA,TA,540,GasA,TA,N,FuseA,1044,0,1044,0,0,1,0,2,1,Fa,4,Typ,0,Basment,2,N,0,0,0,0,0,NA,Shed,54,WD,55993
1,60,RL,8450,Pave,NA,AllPub,Inside,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,856,GasA,Ex,Y,SBrkr,856,854,1710,1,0,2,1,3,1,Gd,8,Typ,0,Attchd,2,Y,0,61,0,0,0,NA,NA,0,WD,208500
2,20,RL,9600,Pave,NA,AllPub,FR2,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,None,0,TA,TA,CBlock,Gd,TA,1262,GasA,Ex,Y,SBrkr,1262,0,1262,0,1,2,0,3,1,TA,6,Typ,1,Attchd,2,Y,298,0,0,0,0,NA,NA,0,WD,181500
3,60,RL,11250,Pave,NA,AllPub,Inside,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,920,GasA,Ex,Y,SBrkr,920,866,1786,1,0,2,1,3,1,Gd,6,Typ,1,Attchd,2,Y,0,42,0,0,0,NA,NA,0,WD,223500
4,70,RL,9550,Pave,NA,AllPub,Corner,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,None,0,TA,TA,BrkTil,TA,Gd,756,GasA,Gd,Y,SBrkr,961,756,1717,1,0,1,0,3,1,Gd,7,Typ,1,Detchd,3,Y,0,35,272,0,0,NA,NA,0,WD,140000
5,60,RL,14260,Pave,NA,AllPub,FR2,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,1145,GasA,Ex,Y,SBrkr,1145,1053,2198,1,0,2,1,4,1,Gd,9,Typ,1,Attchd,3,Y,192,84,0,0,0,NA,NA,0,WD,250000
7,20,RL,10084,Pave,NA,AllPub,Inside,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,1686,GasA,Ex,Y,SBrkr,1694,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Attchd,2,Y,255,57,0,0,0,NA,NA,0,WD,307000
9,50,RM,6120,Pave,NA,AllPub,Inside,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,None,0,TA,TA,BrkTil,TA,TA,952,GasA,Gd,Y,FuseF,1022,752,1774,0,0,2,0,2,2,TA,8,Min1,2,Detchd,2,Y,90,0,205,0,0,NA,NA,0,WD,129900
10,190,RL,7420,Pave,NA,AllPub,Corner,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,None,0,TA,TA,BrkTil,TA,TA,991,GasA,Ex,Y,SBrkr,1077,0,1077,1,0,1,0,2,2,TA,5,Typ,2,Attchd,1,Y,0,4,0,0,0,NA,NA,0,WD,118000
11,20,RL,11200,Pave,NA,AllPub,Inside,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,None,0,TA,TA,CBlock,TA,TA,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1,0,1,0,3,1,TA,5,Typ,0,Detchd,1,Y,0,0,0,0,0,NA,NA,0,WD,129500
12,60,RL,11924,Pave,NA,AllPub,Inside,1Fam,2Story,9,5,2005,Hip,CompShg,WdShing,Stone,286,Ex,TA,PConc,Ex,TA,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,1,0,3,0,4,1,Ex,11,Typ,2,BuiltIn,3,Y,147,21,0,0,0,NA,NA,0,New,345000
13,20,RL,12968,Pave,NA,AllPub,Inside,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,None,0,TA,TA,CBlock,TA,TA,912,GasA,TA,Y,SBrkr,912,0,912,1,0,1,0,2,1,TA,4,Typ,0,Detchd,1,Y,140,0,0,0,176,NA,NA,0,WD,144000
14,20,RL,10652,Pave,NA,AllPub,Inside,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,Stone,306,Gd,TA,PConc,Gd,TA,1494,GasA,Ex,Y,SBrkr,1494,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,3,Y,160,33,0,0,0,NA,NA,0,New,279500
15,20,RL,10920,Pave,NA,AllPub,Corner,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,1253,GasA,TA,Y,SBrkr,1253,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Attchd,1,Y,0,213,176,0,0,GdWo,NA,0,WD,157000
16,45,RM,6120,Pave,NA,AllPub,Corner,1Fam,1.5Unf,7,8,1929,Gable,CompShg,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,832,GasA,Ex,Y,FuseA,854,0,854,0,0,1,0,2,1,TA,5,Typ,0,Detchd,2,Y,48,112,0,0,0,GdPrv,NA,0,WD,132000
19,20,RL,13695,Pave,NA,AllPub,Inside,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,None,0,TA,TA,PConc,TA,TA,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,Detchd,2,Y,0,102,0,0,0,NA,NA,0,WD,159000
20,20,RL,7560,Pave,NA,AllPub,Inside,1Fam,1Story,5,6,1958,Hip,CompShg,BrkFace,None,0,TA,TA,CBlock,TA,TA,1029,GasA,TA,Y,SBrkr,1339,0,1339,0,0,1,0,3,1,TA,6,Min1,0,Attchd,1,Y,0,0,0,0,0,MnPrv,NA,0,COD,139000
21,60,RL,14215,Pave,NA,AllPub,Corner,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,TA,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,0,0,3,1,4,1,Gd,9,Typ,1,BuiltIn,3,Y,240,154,0,0,0,NA,NA,0,New,325300
22,45,RM,7449,Pave,Grvl,AllPub,Inside,1Fam,1.5Unf,7,7,1930,Gable,CompShg,Wd Sdng,None,0,TA,TA,PConc,TA,TA,637,GasA,Ex,Y,FuseF,1108,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Attchd,1,N,0,0,205,0,0,GdPrv,NA,0,WD,139400
23,20,RL,9742,Pave,NA,AllPub,Inside,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,TA,1777,GasA,Ex,Y,SBrkr,1795,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,2,Y,171,159,0,0,0,NA,NA,0,WD,230000
24,120,RM,4224,Pave,NA,AllPub,Inside,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,None,0,TA,TA,PConc,Gd,TA,1040,GasA,TA,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,TA,6,Typ,1,Attchd,2,Y,100,110,0,0,0,NA,NA,0,WD,129900
25,20,RL,8246,Pave,NA,AllPub,Inside,1Fam,1Story,5,8,1968,Gable,CompShg,Plywood,None,0,TA,Gd,CBlock,TA,TA,1060,GasA,Ex,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,Attchd,1,Y,406,90,0,0,0,MnPrv,NA,0,WD,154000
26,20,RL,14230,Pave,NA,AllPub,Corner,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,Stone,640,Gd,TA,PConc,Gd,TA,1566,GasA,Ex,Y,SBrkr,1600,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,3,Y,0,56,0,0,0,NA,NA,0,WD,256300
27,20,RL,7200,Pave,NA,AllPub,Corner,1Fam,1Story,5,7,1951,Gable,CompShg,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,900,GasA,TA,Y,SBrkr,900,0,900,0,1,1,0,3,1,Gd,5,Typ,0,Detchd,2,Y,222,32,0,0,0,NA,NA,0,WD,134800
28,20,RL,11478,Pave,NA,AllPub,Inside,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,1704,GasA,Ex,Y,SBrkr,1704,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Attchd,3,Y,0,50,0,0,0,NA,NA,0,WD,306000
29,20,RL,16321,Pave,NA,AllPub,CulDSac,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,None,0,TA,TA,CBlock,TA,TA,1484,GasA,TA,Y,SBrkr,1600,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Attchd,1,Y,288,258,0,0,0,NA,NA,0,WD,207500
30,30,RM,6324,Pave,NA,AllPub,Inside,1Fam,1Story,4,6,1927,Gable,CompShg,MetalSd,None,0,TA,TA,BrkTil,TA,TA,520,GasA,Fa,N,SBrkr,520,0,520,0,0,1,0,1,1,Fa,4,Typ,0,Detchd,1,Y,49,0,87,0,0,NA,NA,0,WD,68500
31,70,C (all),8500,Pave,Pave,AllPub,Inside,1Fam,2Story,4,4,1920,Gambrel,CompShg,BrkFace,None,0,TA,Fa,BrkTil,TA,TA,649,GasA,TA,N,SBrkr,649,668,1317,0,0,1,0,3,1,TA,6,Typ,0,Detchd,1,N,0,54,172,0,0,MnPrv,NA,0,WD,40000
